,Gurmukhi, ,Shahmukhi,POS,English Meaning
,ਉੱਕਰਨਾ,,اُکّرنا,"verb, transitive","to engrave, inscribe, carve, cut, chisel, chase, etch, tattoo"
,ਉੱਕਰਨੀ,,اُکّرنی,"noun, feminine",burin
,ਉੱਕਰਵਾਂ,,اُکّرواں,adjective,"engraved, inscribed, chiselled, etched, tattooed"
,ਉਕਰਵਾਉਣਾ,,اُکرواؤنا,"verb, transitive",to cause to be or to get engraved or inscribed
,ਉਕਰਵਾਈ,,اُکروائی,"noun, feminine",process of or wages for ਉਕਰਵਾਉਣਾ
,ਉਕਰਾਂ,,اُکراں,adverb,"similarly, as the same, in the same way; same as ਓਵੇਂ"
,ਉਕਰਾਉਣਾ,,اُکراؤنا,"verb, transitive",same as ਉਕਰਵਾਉਣਾ
,ਉਕਰਾਈ,,اُکرائی,"noun, feminine","process of, wages  for ਉਕਰਾਉਣਾ"
,ਉਕਰੇਵਾਂ,,اُکریواں,"noun, masculine","engraving, etching"
,ਉੱਕੜ ਦੁੱਕੜ,,اُکّڑ دُکّڑ,adjective,see ਇੱਕੜ ਦੁੱਕੜ
,ਉਕੜੂ,,اُکڑو,adjective,bent or tilted forward; (as loaded cart) with more weight on the front part
,ਉੱਕਾ,,اُکّا,adverb,"at all; totally, wholly, completely; usually  ਉੱਕਾ ਨਹੀਂ- not at all"
,ਉਕਾਉਣਾ,,اُکاؤنا,"verb, transitive","to cause to miss, overlook or omit cf. ਉੱਕਣਾ"
,ਉਕਾਈ,,اُکائی,"noun, feminine","failure to act, error or fault of omission, default, oversight, error, mistake"
,ਉੱਕਾ ਪੁੱਕਾ,,اُکّا پُکّا,"adjective, masculine","net (cost, price, bargain) without overhead or additional charges"
,ਉਕਾਬ,,عقاب,"noun, masculine",eagle
,ਉਕਾਬੀ,,عقابی,adjective,"eagle-like, aquiline, accipitrine, raptorial"
,ਉਕੇਰਾ,,اُکیرا,"noun, masculine","engraver, inscriber, etcher, tattooer, tattooist"
,ਉੱਖਣਨਾ,,اُکھّننا,"verb, transitive",same as ਉੱਕਰਨਾ
,ਉੱਖਲ਼ਉੱਖਲ਼ੀ,,اُکھّلاُکھّلی,"noun, masculine/noun, feminine",pit or mortar for pounding grain especially paddy in
,ਉੱਖੜਨਾ,,اُکھّڑنا,"verb, intransitive","to get loose, dismantled, disjointed or unhinged; to be uprooted or pulled out; to become shaky or unsteady; to waver; to become unsettled (as in life or business)"
,ਉੱਖੜਵਾਂ,,اُکھّڑواں,adjective,"detachable, loose, unfastened or disjointed"
,ਉਖੜਵਾਉਣਾ,,اُکھڑواؤنا,"verb, transitive","to get or cause to be disjointed, dismantled or unhinged"
,ਉਖਾੜਨਾਉਖੇੜਨਾ,,اُکھاڑنااُکھیڑنا,"verb, transitive","to disjoint, dismantle, dislocate, unhinge; to extract, uproot, pull-out; to unsettle; to cause to be diffident or waver"
,ਉਖਿਆਈ,,اُکھیائی,"noun, feminine",same as ਔਖ
,ਉੱਗਣਾ,,اُگّنا,"verb, intransitive","to germinate, sprout, grow; (for sun, moon, stars) to rise"
,ਉਗਮਣਾ,,اُگمنا,"verb, intransitive","to rise, arise, appear; to emerge, emanate; to take birth"
,ਉਗਰ,,اُگر,adjective,"fierce, intense, wrathful, angry, violent, terrible, frightful"
,ਉਗਰਤਾ,,اُگرتا,"noun, feminine","fierceness, ferocity, intensity, wrathfulness, terror, frightfulness"
,ਉੱਗਰਨਾ,,اُگّرنا,"verb, transitive","to brandish, wave, display (blow or weapon) threateningly, tilt; verb, intransitive to incline forward threateningly, take a threatening posture; to be desirous or anxious to do something"
,ਉਗਰਪੰਥੀ,,اُگرپنتھی,"adjective, noun masculine",terrorist
,ਉਗਰਵਾਦ,,اُگرواد,"noun, masculine",terrorism
,ਉਗਰਵਾਦੀ,,اُگروادی,"adjective & noun, masculine",terrorist
,ਉਗਰਾਹ,,اُگراہ,verb,"imperative form of ਉਗਰਾਹੁਣਾ , collect"
,ਉਗਰਾਹੀ,,اُگراہی,"noun, feminine","collection (of donations or subscriptions); collection, realisation (of dues)"
,ਉਗਰਾਹੁਣਾ,,اُگراہُنا,"verb, transitive",to go round and collect (dues or donations)
,ਉਂਗਲੀ ਕਰਨੀ,,اُنگلی کرنی,phrase,to point out; to accuse
,ਉਂਗਲੀ ਦੇਣੀ,,اُنگلی دینی,phrase,"to incite, instigate, abet; to provoke"
,ਉਂਗਲੀ ਧਰਨੀ,,اُنگلی دھرنی,phrase,"to select, choose"
,ਉਂਗਲੀ ਨਾ ਚੁੱਕਣਾ,,اُنگلی نہ چُکّنا,phrase,"to raise no objection, acquiesce"
,ਉਂਗਲੀ ਫੜਨੀ,,اُنگلی پھڑنی,phrase,"to extend a helping hand, help, support (usually in adversity)"
,ਉਂਗਲੀ ਮੂੰਹ ਵਿਚ ਪਾਉਣੀ,,اُنگلی مُنہ وِچ پاؤنی,phrase,"to wonder, be amazed, astonished or awe-struck"
,ਉਂਗਲੀ ਲੈਣੀ,,اُنگلی لینی,phrase,"to invite trouble, interfere unnecessarily, start unnecessary squabble"
,ਉਂਗਲ਼,,اُنگل,"noun, feminine","finger; toe, digit; dactyl; breadth of a finger as a unit of measurement approximately .75 inch"
,ਉਗਲ਼ੱਛਣਾ,,اُگلچھّنا,"verb, intransitive","to vomit, disgorge, throw out, spew; figurative usage to disclose, reveal (secret or misappropriated property)"
,ਉੱਗਲ਼ਨਾ,,اُگّلنا,"verb, transitive","to disclose, reveal (a secret or misappropriated property)"
,ਉੱਗਲ਼ਨਾ,,اُگّلنا,"verb, intransitive","to come to surface as a result of rubbing, heating or fermenting"
,ਉਂਗਲ਼ੀ,,اُنگلی,"noun, feminine",same as ਉਂਗਲ਼
,ਉਂਗਲ਼ੀਆਂ ਤੇ ਨਚਾਉਣਾ,,اُنگلیاں تے نچاؤنا,phrase,"to make a puppet or a fool of, make someone to sing to one's tune"
,ਉਗਵਾਉਣਾ,,اُگواؤنا,"verb, transitive",to get (plant or crop) grown or raised
,ਉਗਵਾਈ,,اُگوائی,"noun, feminine",wages for ਉਗਵਾਉਣਾ
,ਉਗਾਉਣਾ,,اُگاؤنا,"verb, transitive","to grow, raise, cultivate (plant or crop)"
,ਉਗਾਹ,,اُگاہ,"noun masculine, dialectical usage",see ਗਵਾਹ
,ਉਗਾਹੀ,,اُگاہی,"noun feminine, dialectical usage",see ਗਵਾਹੀ
,ਉਗਾਲ਼ੀ ਕਰਨੀਉਗਾਲ਼ੀ ਪੈਣਾ,,اُگالی کرنیاُگالی پَینا,conjunct verb,"to chew the cud, ruminate"
,ਉਗਾਲ਼ਦਾਨ,,اُگالدان,"noun, masculine","spittoon, cuspidor"
